Source_Amplitude,Frequency_omega,Max_Abs_E,Max_Abs_Real_Ex,Max_Abs_Imag_Ex,Max_Abs_Real_Ey,Max_Abs_Imag_Ey
0.1,3.0,0.008502159398221581,0.006522356556436455,0.00597701582434056,0.0021120854064841112,0.002851857750047655
0.1,3.05685618729097,0.00805275840988127,0.005433006422621525,0.006926966138624429,0.0019684099369371632,0.002329788334976634
0.1,3.1137123745819397,0.007280048668830624,0.004299989875464112,0.0063047182664360555,0.001551059076456453,0.002485954716644666
0.1,3.1705685618729094,0.0066595201774984295,0.00390642313645714,0.006177018307899838,0.0012018690857679118,0.002840584608432034
0.1,3.2274247491638794,0.006296408375105831,0.004767429684858303,0.006077503689120281,0.0013106287086896077,0.0029805854647656916
0.1,3.2842809364548495,0.0066266152207159305,0.006079640698521598,0.006167786465269714,0.002091531482356258,0.00287681475051461
0.1,3.3411371237458196,0.007539768377086154,0.006433714000564063,0.0071812501216070475,0.0026544656560352226,0.0029598757243864287
0.1,3.3979933110367893,0.007868067838702463,0.007154923801944902,0.006911527726151435,0.004084593448903773,0.0026651593074758654
0.1,3.4548494983277593,0.008920668333615185,0.007579892710443148,0.005664068950490232,0.004815587390817054,0.0027653719105220544
0.1,3.5117056856187294,0.008618827355889301,0.00662667980844873,0.005614155990265656,0.004011192496627698,0.003398678841605145
0.1,3.568561872909699,0.008446059982503255,0.006222982237230682,0.005778786081312047,0.0032857713581449467,0.003024323997494205
0.1,3.6254180602006687,0.00835066493933375,0.00540464403065987,0.006365782957199007,0.0023028277988310646,0.0030951928370177213
0.1,3.682274247491639,0.0072841587782105435,0.004015700555664635,0.0061315072996469275,0.0014599209725908188,0.002886177048860722
0.1,3.739130434782609,0.006055058058465565,0.0033215864307896254,0.005252286619276535,0.001114178850377369,0.002622027814700367
0.1,3.7959866220735785,0.0052979518429825,0.003354743552692469,0.004531431221359895,0.000973124117475889,0.0024823682092731786
0.1,3.8528428093645486,0.005435526903801119,0.0040066533756021264,0.004578949116363825,0.0012456484510932264,0.0023667339578729977
